date,unique_id,temperature,replicate,cell_density,cell_volume,time_since_innoc_hours,days
2016-11-07 14:36,25_1,25,1,4571,1027.29,248.8475,10.36864583
2016-11-07 14:25,25_2,25,2,5678,862.95,248.6561111,10.3606713
2016-11-07 14:21,25_3,25,3,5829,875.39,248.6016667,10.35840278
2016-11-07 14:19,25_4,25,4,5024,942.93,248.5591667,10.35663194
2016-11-07 14:19,25_4,25,4,5024,942.93,248.5591667,10.35663194
2016-11-07 14:16,25_5,25,5,6383,975.1,248.5175,10.35489583
2016-11-07 14:44,32_1,32,1,1552,2769.17,248.9730556,10.37387731
2016-11-07 14:46,32_2,32,2,100,718.55,249.0163889,10.37568287
2016-11-07 14:49,32_3,32,3,1845,2375.41,249.0636111,10.37765046
2016-11-07 14:52,32_4,32,4,42,3451.67,249.1063889,10.37943287
2016-11-07 14:55,32_5,32,5,42,68.37,249.1647222,10.38186343
2016-11-09 16:46,5_1,5,1,2971,1114.56,299.0175,12.4590625
2016-11-09 16:55,5_2,5,2,3648,1182.55,299.1583333,12.46493056
2016-11-09 17:00,5_3,5,3,5158,1619.27,299.2463889,12.46859954
2016-11-09 16:58,5_4,5,4,4145,1340.82,299.2169444,12.46737269
2016-11-09 17:02,5_5,5,5,3140,1244.39,299.2758333,12.46982639
2016-11-09 17:46,8_1,8,1,8374,946.53,300.0141667,12.50059028
2016-11-09 17:45,8_2,8,2,15775,908.95,299.9880556,12.49950231
2016-11-09 17:43,8_3,8,3,10106,869.59,299.9602778,12.49834491
2016-11-09 17:41,8_4,8,4,7422,985.22,299.9341667,12.49725694
2016-11-09 17:39,8_5,8,5,9686,909.35,299.8963889,12.49568287
2016-11-09 17:49,16_1,16,1,19708,930.46,300.0658333,12.50274306
2016-11-09 17:51,16_2,16,2,20410,975.71,300.0913889,12.50380787
2016-11-09 17:52,16_3,16,3,20551,936.17,300.1186111,12.50494213
2016-11-09 17:54,16_4,16,4,21931,902.31,300.1455556,12.50606481
2016-11-09 17:56,16_5,16,5,17947,901.91,300.1786111,12.50744213
2016-11-09 18:24,25_1,25,1,5074,841.94,300.6480556,12.52700231
2016-11-09 18:26,25_2,25,2,4864,746.42,300.6758333,12.52815972
2016-11-09 18:27,25_3,25,3,6309,918.88,300.7036111,12.52931713
2016-11-09 18:29,25_4,25,4,7632,990.31,300.7297222,12.53040509
2016-11-09 18:31,25_5,25,5,9225,840.37,300.7558333,12.53149306
2016-10-28 17:51,5_1,5,1,1200,668.61,12.09277778,0.503865741
2016-10-28 17:51,5_1,5,1,1200,495.39,12.09277778,0.503865741
2016-10-28 17:56,5_5,5,5,1200,689.75,12.18055556,0.507523148
2016-10-28 18:00,8_1,8,1,1200,715.83,12.24555556,0.510231481
2016-10-28 18:03,8_5,8,5,1200,685.17,12.29388889,0.51224537
2016-10-28 18:37,16_1,16,1,1200,638.69,12.86305556,0.535960648
2016-10-28 18:39,16_5,16,5,1200,626.68,12.90333333,0.537638889
2016-10-28 18:43,25_1,25,1,1200,708.69,12.96472222,0.540196759
2016-10-28 18:45,25_5,25,5,1200,739.25,13.00333333,0.541805556
2016-10-28 18:55,32_1,32,1,1200,948.61,13.17055556,0.548773148
2016-10-28 18:57,32_5,32,5,1200,703.88,13.19472222,0.549780093
2016-10-31 14:58,5_1,5,1,381,769.07,81.21888889,3.38412037
2016-10-31 14:58,5_1,5,1,381,769.07,81.21888889,3.38412037
2016-10-31 15:05,5_2,5,2,164,636.15,81.335,3.388958333
2016-10-31 15:08,5_3,5,3,420,1065.35,81.37666667,3.390694444
2016-10-31 15:11,5_4,5,4,118,822.02,81.43555556,3.393148148
2016-10-31 15:15,5_5,5,5,81,814.13,81.49111111,3.395462963
2016-10-31 15:28,8_1,8,1,334,820.6,81.7075,3.404479167
2016-10-31 15:25,8_2,8,2,2457,1095.99,81.65916667,3.402465278
2016-10-31 15:23,8_3,8,3,423,1050.34,81.62305556,3.400960648
2016-10-31 15:20,8_4,8,4,233,955.11,81.58333333,3.399305556
2016-10-31 15:17,8_5,8,5,159,897.63,81.53666667,3.397361111
2016-10-31 16:03,16_1,16,1,1803,773.23,82.30166667,3.429236111
2016-10-31 16:06,16_2,16,2,660,772.74,82.34638889,3.431099537
2016-10-31 16:10,16_3,16,3,1505,924.78,82.42055556,3.434189815
2016-10-31 16:13,16_4,16,4,847,817.92,82.45944444,3.435810185
2016-10-31 16:16,16_5,16,5,1776,871.51,82.51916667,3.438298611
2016-10-31 16:32,25_1,25,1,7446,842.61,82.78416667,3.449340278
2016-10-31 16:30,25_2,25,2,6467,684.37,82.74027778,3.447511574
2016-10-31 16:27,25_3,25,3,6971,736.85,82.69777778,3.445740741
2016-10-31 16:24,25_4,25,4,6285,700.52,82.65361111,3.443900463
2016-10-31 16:21,25_5,25,5,6145,808.19,82.60083333,3.441701389
NA,5_1,5,1,1200,661.802,12.18056,0.507523333
NA,5_2,5,2,1200,661.802,12.18056,0.507523333
NA,5_3,5,3,1200,661.802,12.18056,0.507523333
